CardType,Rarity,ServantName,Class,Avail,Diff,Time
CE,3,,,,,2021.08.13_16.50.37.546
Servant,3,Robinhood,Archer,Normal,13700.11473,2021.08.13_16.50.37.546
Servant,3,Romulus,Lancer,Normal,13839.83502,2021.08.13_16.50.37.546
CE,4,,,,,2021.08.13_16.50.37.546
CE,3,,,,,2021.08.13_16.50.37.546
Servant,3,Touda,Archer,Normal,13207.26024,2021.08.13_16.50.37.546
Servant,3,Alexander,Rider,Normal,13930.84498,2021.08.13_16.50.37.546
CE,3,,,,,2021.08.13_16.50.37.546
CE,4,,,,,2021.08.13_16.50.37.546
CE,3,,,,,2021.08.13_16.50.37.546
Servant,3,Darius,Berserker,Normal,15842.82913,2021.08.13_16.50.37.546
Servant,3,Robinhood,Archer,Normal,13589.48691,2021.08.13_16.51.18.174
CE,3,,,,,2021.08.13_16.51.18.174
CE,5,,,,,2021.08.13_16.51.18.174
CE,4,,,,,2021.08.13_16.51.18.174
Servant,3,Ushiwakamaru,Rider,Normal,13673.71604,2021.08.13_16.51.18.174
Servant,3,GillesSaber,Saber,Normal,13273.26865,2021.08.13_16.51.18.174
CE,3,,,,,2021.08.13_16.51.18.174
CE,3,,,,,2021.08.13_16.51.18.174
CE,4,,,,,2021.08.13_16.51.18.174
CE,3,,,,,2021.08.13_16.51.18.174
Servant,3,David,Archer,Normal,15866.78623,2021.08.13_16.51.18.174
CE,3,,,,,2021.08.13_16.58.35.858
Servant,3,BillyTheKid,Archer,Normal,12741.39889,2021.08.13_16.58.35.858
CE,5,,,,,2021.08.13_16.58.35.858
CE,3,,,,,2021.08.13_16.58.35.858
Servant,3,Euryale,Archer,Normal,15677.92899,2021.08.13_16.58.35.858
CE,3,,,,,2021.08.13_16.58.35.858
CE,3,,,,,2021.08.13_16.58.35.858
Servant,3,Touda,Archer,Normal,15388.60092,2021.08.13_16.58.35.858
CE,4,,,,,2021.08.13_16.58.35.858
CE,3,,,,,2021.08.13_16.58.35.858
CE,4,,,,,2021.08.13_16.58.35.858
CE,3,,,,,2021.08.13_17.00.05.344
CE,3,,,,,2021.08.13_17.00.05.344
Servant,3,KidGil,Archer,Normal,13104.27942,2021.08.13_17.00.05.344
CE,3,,,,,2021.08.13_17.00.05.344
CE,5,,,,,2021.08.13_17.00.05.344
CE,3,,,,,2021.08.13_17.00.05.344
CE,3,,,,,2021.08.13_17.00.05.344
CE,4,,,,,2021.08.13_17.00.05.344
Servant,3,David,Archer,Normal,14675.16638,2021.08.13_17.00.05.344
Servant,3,Avicebron,Caster,Normal,17389.23768,2021.08.13_17.00.05.344
CE,4,,,,,2021.08.13_17.00.05.344
CE,3,,,,,2021.08.13_17.00.20.610
CE,3,,,,,2021.08.13_17.00.20.610
CE,4,,,,,2021.08.13_17.00.20.610
CE,4,,,,,2021.08.13_17.00.20.610
Servant,3,David,Archer,Normal,12994.7514,2021.08.13_17.00.20.610
CE,3,,,,,2021.08.13_17.00.20.610
Servant,3,Lubu,Berserker,Normal,13390.15628,2021.08.13_17.00.20.610
Servant,3,Ushiwakamaru,Rider,Normal,15634.76145,2021.08.13_17.00.20.610
CE,3,,,,,2021.08.13_17.00.20.610
Servant,3,Paracelsus,Caster,Normal,15957.99884,2021.08.13_17.00.20.610
CE,3,,,,,2021.08.13_17.00.20.610
Servant,3,CuLancer,Lancer,Normal,15180.38493,2021.08.13_17.00.43.127
Servant,3,Robinhood,Archer,Normal,13294.95594,2021.08.13_17.00.43.127
Servant,3,Medea,Caster,Normal,13720.90348,2021.08.13_17.00.43.127
CE,3,,,,,2021.08.13_17.00.43.127
Servant,3,Ushiwakamaru,Rider,Normal,13631.53836,2021.08.13_17.00.43.127
Servant,3,Kiyohime,Berserker,Normal,13064.87449,2021.08.13_17.00.43.127
CE,4,,,,,2021.08.13_17.00.43.127
CE,3,,,,,2021.08.13_17.00.43.127
Servant,3,Jingke,Assassin,Normal,16009.96382,2021.08.13_17.00.43.127
Servant,3,David,Archer,Normal,14925.93198,2021.08.13_17.00.43.127
CE,3,,,,,2021.08.13_17.00.43.127
CE,3,,,,,2021.08.13_17.01.13.859
CE,3,,,,,2021.08.13_17.01.13.859
CE,3,,,,,2021.08.13_17.01.13.859
CE,4,,,,,2021.08.13_17.01.13.859
Servant,3,Inshun,Lancer,Normal,12872.62585,2021.08.13_17.01.13.859
CE,4,,,,,2021.08.13_17.01.13.859
CE,3,,,,,2021.08.13_17.01.13.859
Servant,3,CuLancer,Lancer,Normal,16195.19029,2021.08.13_17.01.13.859
CE,3,,,,,2021.08.13_17.01.13.859
CE,3,,,,,2021.08.13_17.01.13.859
Servant,3,KidGil,Archer,Normal,12994.08696,2021.08.13_17.01.13.859
Servant,3,WilliamTell,Archer,Normal,16676.92372,2021.08.13_17.01.50.826
Servant,3,Fergus,Saber,Normal,13664.28232,2021.08.13_17.01.50.826
Servant,3,BillyTheKid,Archer,Normal,12720.85768,2021.08.13_17.01.50.826
Servant,3,Serenity,Assassin,Normal,12661.80536,2021.08.13_17.01.50.826
Servant,3,Caesar,Saber,Normal,14350.48478,2021.08.13_17.01.50.826
CE,4,,,,,2021.08.13_17.01.50.826
CE,3,,,,,2021.08.13_17.01.50.826
Servant,3,Ushiwakamaru,Rider,Normal,15614.27464,2021.08.13_17.01.50.826
Servant,3,Robinhood,Archer,Normal,14004.58618,2021.08.13_17.01.50.826
Servant,3,WilliamTell,Archer,Normal,16057.43908,2021.08.13_17.01.50.826
CE,5,,,,,2021.08.13_17.01.50.826
Servant,3,Robinhood,Archer,Normal,13587.04865,2021.08.13_17.02.20.942
CE,5,,,,,2021.08.13_17.02.20.942
CE,5,,,,,2021.08.13_17.02.20.942
Servant,3,Babbage,Caster,Normal,12602.827,2021.08.13_17.02.20.942
CE,4,,,,,2021.08.13_17.02.20.942
CE,4,,,,,2021.08.13_17.02.20.942
CE,3,,,,,2021.08.13_17.02.20.942
CE,4,,,,,2021.08.13_17.02.20.942
Servant,3,CuLancer,Lancer,Normal,15792.74135,2021.08.13_17.02.20.942
