CardType,Rarity,ServantName,Class,Avail,Diff,Time
CE,3,,,,,2021.08.02_16.36.57.199
Servant,3,Lubu,Berserker,Normal,13127.78309,2021.08.02_16.36.57.199
Servant,3,Darius,Berserker,Normal,15220.87976,2021.08.02_16.36.57.199
CE,3,,,,,2021.08.02_16.36.57.199
Servant,3,HundredFaces,Assassin,Normal,12911.30159,2021.08.02_16.36.57.199
Servant,3,Mandricardo,Rider,Normal,13826.06367,2021.08.02_16.36.57.199
Servant,3,Kiyohime,Berserker,Normal,13431.82633,2021.08.02_16.36.57.199
CE,5,,,,,2021.08.02_16.36.57.199
CE,3,,,,,2021.08.02_16.36.57.199
Servant,3,Fergus,Saber,Normal,14912.10585,2021.08.02_16.36.57.199
CE,4,,,,,2021.08.02_16.36.57.199
CE,3,,,,,2021.08.02_16.37.42.298
CE,3,,,,,2021.08.02_16.37.42.298
CE,3,,,,,2021.08.02_16.37.42.298
Servant,5,Koyanskaya,Assassin,Limited,15318.6087,2021.08.02_16.37.42.298
Servant,3,Kotarou,Assassin,Normal,12397.23092,2021.08.02_16.37.42.298
Servant,3,GillesSaber,Saber,Normal,13209.96667,2021.08.02_16.37.42.298
CE,3,,,,,2021.08.02_16.37.42.298
Servant,3,Euryale,Archer,Normal,17622.92319,2021.08.02_16.37.42.298
CE,4,,,,,2021.08.02_16.37.42.298
Servant,3,Lubu,Berserker,Normal,14284.68908,2021.08.02_16.37.42.298
CE,3,,,,,2021.08.02_16.37.42.298
CE,5,,,,,2021.08.02_16.40.16.601
CE,3,,,,,2021.08.02_16.40.16.601
CE,3,,,,,2021.08.02_16.40.16.601
Servant,3,Fergus,Saber,Normal,13578.92217,2021.08.02_16.40.16.601
CE,3,,,,,2021.08.02_16.40.16.601
CE,3,,,,,2021.08.02_16.40.16.601
Servant,3,Boudica,Rider,Normal,15980.05763,2021.08.02_16.40.16.601
CE,4,,,,,2021.08.02_16.40.16.601
Servant,3,BillyTheKid,Archer,Normal,13249.04995,2021.08.02_16.40.16.601
Servant,3,Touda,Archer,Normal,15314.98787,2021.08.02_16.40.16.601
CE,4,,,,,2021.08.02_16.40.16.601
Servant,3,Paracelsus,Caster,Normal,15277.39498,2021.08.02_16.43.32.683
CE,4,,,,,2021.08.02_16.43.32.683
Servant,3,Lubu,Berserker,Normal,13427.08092,2021.08.02_16.43.32.683
CE,3,,,,,2021.08.02_16.43.32.683
CE,3,,,,,2021.08.02_16.43.32.683
CE,4,,,,,2021.08.02_16.43.32.683
Servant,3,Babbage,Caster,Normal,12503.36899,2021.08.02_16.43.32.683
Servant,3,Fergus,Saber,Normal,15047.11633,2021.08.02_16.43.32.683
Servant,3,Caesar,Saber,Normal,16690.52246,2021.08.02_16.43.32.683
CE,3,,,,,2021.08.02_16.43.32.683
Servant,3,Romulus,Lancer,Normal,14265.82116,2021.08.02_16.43.32.683
Servant,3,Babbage,Caster,Normal,12649.02565,2021.08.02_16.43.53.166
CE,5,,,,,2021.08.02_16.43.53.166
CE,4,,,,,2021.08.02_16.43.53.166
CE,4,,,,,2021.08.02_16.43.53.166
CE,3,,,,,2021.08.02_16.43.53.166
Servant,3,Diarmuid,Lancer,Normal,13145.63406,2021.08.02_16.43.53.166
CE,3,,,,,2021.08.02_16.43.53.166
CE,4,,,,,2021.08.02_16.43.53.166
CE,5,,,,,2021.08.02_16.43.53.166
CE,3,,,,,2021.08.02_16.43.53.166
CE,3,,,,,2021.08.02_16.43.53.166
Servant,3,Hector,Lancer,Normal,13236.74768,2021.08.02_16.44.27.436
CE,4,,,,,2021.08.02_16.44.27.436
Servant,4,Emiya,Archer,Normal,12669.80251,2021.08.02_16.44.27.436
CE,3,,,,,2021.08.02_16.44.27.436
CE,3,,,,,2021.08.02_16.44.27.436
Servant,3,Ushiwakamaru,Rider,Normal,13438.0799,2021.08.02_16.44.27.436
Servant,3,CuProto,Lancer,Normal,13179.59425,2021.08.02_16.44.27.436
Servant,3,Alexander,Rider,Normal,14828.57691,2021.08.02_16.44.27.436
CE,3,,,,,2021.08.02_16.44.27.436
Servant,3,Boudica,Rider,Normal,16676.12382,2021.08.02_16.44.27.436
CE,4,,,,,2021.08.02_16.44.27.436
Servant,4,NurseryRhyme,Caster,Normal,14875.68227,2021.08.02_16.45.23.150
CE,4,,,,,2021.08.02_16.45.23.150
CE,4,,,,,2021.08.02_16.45.23.150
Servant,3,Ushiwakamaru,Rider,Normal,14565.61976,2021.08.02_16.45.23.150
Servant,4,Fionn,Lancer,Normal,13336.18184,2021.08.02_16.45.23.150
CE,5,,,,,2021.08.02_16.45.23.150
CE,4,,,,,2021.08.02_16.45.23.150
Servant,3,GillesSaber,Saber,Normal,15269.58976,2021.08.02_16.45.23.150
CE,3,,,,,2021.08.02_16.45.23.150
CE,3,,,,,2021.08.02_16.45.23.150
Servant,3,Medea,Caster,Normal,15832.77169,2021.08.02_16.45.23.150
Servant,4,WuZetian,Assassin,Normal,14578.51966,2021.08.02_16.46.31.531
Servant,3,WilliamTell,Archer,Normal,15713.20483,2021.08.02_16.46.31.531
Servant,3,Babbage,Caster,Normal,12623.13256,2021.08.02_16.46.31.531
CE,4,,,,,2021.08.02_16.46.31.531
CE,4,,,,,2021.08.02_16.46.31.531
CE,4,,,,,2021.08.02_16.46.31.531
CE,3,,,,,2021.08.02_16.46.31.531
CE,4,,,,,2021.08.02_16.46.31.531
CE,4,,,,,2021.08.02_16.46.31.531
Servant,3,Babbage,Caster,Normal,13506.24082,2021.08.02_16.46.31.531
Servant,3,Caesar,Saber,Normal,16601.77449,2021.08.02_16.46.31.531
Servant,3,Hector,Lancer,Normal,13156.37744,2021.08.02_16.47.47.715
CE,3,,,,,2021.08.02_16.47.47.715
Servant,3,Ushiwakamaru,Rider,Normal,14578.46155,2021.08.02_16.47.47.715
Servant,3,Medusa,Rider,Normal,14369.27319,2021.08.02_16.47.47.715
Servant,4,Kiritsugu,Assassin,Normal,13154.57435,2021.08.02_16.47.47.715
CE,4,,,,,2021.08.02_16.47.47.715
CE,3,,,,,2021.08.02_16.47.47.715
CE,3,,,,,2021.08.02_16.47.47.715
Servant,3,BillyTheKid,Archer,Normal,13054.9342,2021.08.02_16.47.47.715
Servant,3,Lubu,Berserker,Normal,14372.4957,2021.08.02_16.47.47.715
CE,4,,,,,2021.08.02_16.47.47.715
CE,4,,,,,2021.08.02_16.48.05.132
Servant,3,Jingke,Assassin,Normal,15111.57372,2021.08.02_16.48.05.132
Servant,3,Euryale,Archer,Normal,17577.94116,2021.08.02_16.48.05.132
CE,3,,,,,2021.08.02_16.48.05.132
CE,5,,,,,2021.08.02_16.48.05.132
CE,3,,,,,2021.08.02_16.48.05.132
Servant,3,Babbage,Caster,Normal,12546.23237,2021.08.02_16.48.05.132
CE,4,,,,,2021.08.02_16.48.05.132
CE,4,,,,,2021.08.02_16.48.05.132
Servant,3,Lubu,Berserker,Normal,14239.72522,2021.08.02_16.48.05.132
CE,3,,,,,2021.08.02_16.48.05.132
CE,3,,,,,2021.08.02_16.49.17.965
CE,3,,,,,2021.08.02_16.49.17.965
Servant,3,HundredFaces,Assassin,Normal,13559.22435,2021.08.02_16.49.17.965
CE,3,,,,,2021.08.02_16.49.17.965
Servant,3,Medusa,Rider,Normal,13022.45048,2021.08.02_16.49.17.965
Servant,3,Mandricardo,Rider,Normal,13802.26787,2021.08.02_16.49.17.965
CE,4,,,,,2021.08.02_16.49.17.965
Servant,3,CuLancer,Lancer,Normal,16065.3329,2021.08.02_16.49.17.965
Servant,4,Beowulf,Berserker,Normal,13815.7901,2021.08.02_16.49.17.965
Servant,3,WilliamTell,Archer,Normal,16091.95097,2021.08.02_16.49.17.965
CE,3,,,,,2021.08.02_16.49.17.965
Servant,3,Lubu,Berserker,Normal,13544.3057,2021.08.02_16.49.47.382
Servant,3,Hector,Lancer,Normal,12912.03063,2021.08.02_16.49.47.382
