CardType,Rarity,ServantName,Class,Avail,Diff,Time
CE,4,,,,,2021.08.13_21.32.35.382
CE,3,,,,,2021.08.13_21.32.35.382
Servant,3,Medea,Caster,Normal,13791.11928,2021.08.13_21.32.35.382
CE,3,,,,,2021.08.13_21.32.35.382
CE,3,,,,,2021.08.13_21.32.35.382
CE,3,,,,,2021.08.13_21.32.35.382
CE,5,,,,,2021.08.13_21.32.35.382
CE,4,,,,,2021.08.13_21.32.35.382
Servant,3,BillyTheKid,Archer,Normal,13125.39126,2021.08.13_21.32.35.382
Servant,3,Kiyohime,Berserker,Normal,14148.93309,2021.08.13_21.32.35.382
CE,3,,,,,2021.08.13_21.32.35.382
Servant,3,Geronimo,Caster,Normal,13113.09,2021.08.13_21.33.01.456
Servant,3,WilliamTell,Archer,Normal,14707.53411,2021.08.13_21.33.01.456
Servant,3,Caesar,Saber,Normal,15781.57715,2021.08.13_21.33.01.456
CE,3,,,,,2021.08.13_21.33.01.456
CE,4,,,,,2021.08.13_21.33.01.456
CE,4,,,,,2021.08.13_21.33.01.456
CE,3,,,,,2021.08.13_21.33.01.456
CE,3,,,,,2021.08.13_21.33.01.456
Servant,3,Euryale,Archer,Normal,16845.65319,2021.08.13_21.33.01.456
CE,3,,,,,2021.08.13_21.33.01.456
Servant,3,Inshun,Lancer,Normal,13743.94034,2021.08.13_21.33.01.456
CE,4,,,,,2021.08.13_21.33.42.221
CE,3,,,,,2021.08.13_21.33.42.221
Servant,3,Mephistopheles,Caster,Normal,13923.42126,2021.08.13_21.33.42.221
Servant,3,Euryale,Archer,Normal,17535.59024,2021.08.13_21.33.42.221
CE,4,,,,,2021.08.13_21.33.42.221
Servant,3,Alexander,Rider,Normal,12579.9101,2021.08.13_21.33.42.221
CE,3,,,,,2021.08.13_21.33.42.221
CE,4,,,,,2021.08.13_21.33.42.221
Servant,3,Touda,Archer,Normal,15010.14928,2021.08.13_21.33.42.221
CE,5,,,,,2021.08.13_21.33.42.221
CE,3,,,,,2021.08.13_21.33.42.221
CE,3,,,,,2021.08.13_21.34.17.568
CE,3,,,,,2021.08.13_21.34.17.568
CE,3,,,,,2021.08.13_21.34.17.568
CE,4,,,,,2021.08.13_21.34.17.568
CE,5,,,,,2021.08.13_21.34.17.568
CE,3,,,,,2021.08.13_21.34.17.568
CE,3,,,,,2021.08.13_21.34.17.568
CE,4,,,,,2021.08.13_21.34.17.568
Servant,3,Romulus,Lancer,Normal,14404.42638,2021.08.13_21.34.17.568
CE,4,,,,,2021.08.13_21.34.17.568
Servant,4,FairyGawain,Saber,Story-locked,15547.46213,2021.08.13_21.34.17.568
CE,4,,,,,2021.08.13_21.34.56.519
Servant,3,Boudica,Rider,Normal,17148.54493,2021.08.13_21.34.56.519
Servant,3,CuLancer,Lancer,Normal,16725.46309,2021.08.13_21.34.56.519
CE,3,,,,,2021.08.13_21.34.56.519
CE,4,,,,,2021.08.13_21.34.56.519
