CardType,Rarity,ServantName,Class,Avail,Diff,Time
Servant,3,Euryale,Archer,Normal,17859.26676,2021.08.13_13.08.55.097
Servant,3,Mephistopheles,Caster,Normal,13629.4387,2021.08.13_13.08.55.097
Servant,3,Avicebron,Caster,Normal,17532.13942,2021.08.13_13.08.55.097
CE,4,,,,,2021.08.13_13.08.55.097
CE,3,,,,,2021.08.13_13.08.55.097
Servant,3,Diarmuid,Lancer,Normal,13038.30309,2021.08.13_13.08.55.097
Servant,3,Fergus,Saber,Normal,15791.51831,2021.08.13_13.08.55.097
CE,3,,,,,2021.08.13_13.08.55.097
CE,3,,,,,2021.08.13_13.08.55.097
Servant,4,Martha,Rider,Normal,15741.76222,2021.08.13_13.08.55.097
CE,3,,,,,2021.08.13_13.08.55.097
Servant,3,Babbage,Caster,Normal,12852.74246,2021.08.13_13.09.55.059
CE,3,,,,,2021.08.13_13.09.55.059
Servant,3,Fergus,Saber,Normal,13531.42217,2021.08.13_13.09.55.059
Servant,3,Babbage,Caster,Normal,12710.44053,2021.08.13_13.09.55.059
Servant,3,BillyTheKid,Archer,Normal,11934.80643,2021.08.13_13.09.55.059
Servant,3,Kotarou,Assassin,Normal,12165.38415,2021.08.13_13.09.55.059
Servant,3,Kotarou,Assassin,Normal,13177.52763,2021.08.13_13.09.55.059
Servant,3,Kiyohime,Berserker,Normal,14186.49415,2021.08.13_13.09.55.059
CE,4,,,,,2021.08.13_13.09.55.059
CE,3,,,,,2021.08.13_13.09.55.059
CE,3,,,,,2021.08.13_13.09.55.059
CE,3,,,,,2021.08.13_13.10.51.792
CE,3,,,,,2021.08.13_13.10.51.792
CE,4,,,,,2021.08.13_13.10.51.792
Servant,3,GillesSaber,Saber,Normal,15151.01406,2021.08.13_13.10.51.792
Servant,3,Diarmuid,Lancer,Normal,12914.77367,2021.08.13_13.10.51.792
Servant,4,Stheno,Assassin,Normal,15964.83836,2021.08.13_13.10.51.792
Servant,3,KidGil,Archer,Normal,12642.17401,2021.08.13_13.10.51.792
CE,5,,,,,2021.08.13_13.10.51.792
Servant,3,Jingke,Assassin,Normal,16042.00531,2021.08.13_13.10.51.792
