CardType,Rarity,ServantName,Class,Avail,Diff,Time
Servant,3,KidGil,Archer,Normal,14091.92676,2021.08.13_20.06.40.853
Servant,3,CuProto,Lancer,Normal,15022.33908,2021.08.13_20.06.40.853
Servant,3,Jekyll,Assassin,Normal,15828.27536,2021.08.13_20.06.40.853
CE,4,,,,,2021.08.13_20.06.40.853
Servant,3,CuProto,Lancer,Normal,12223.50899,2021.08.13_20.06.40.853
Servant,3,Darius,Berserker,Normal,14266.54213,2021.08.13_20.06.40.853
CE,3,,,,,2021.08.13_20.06.40.853
CE,4,,,,,2021.08.13_20.06.40.853
Servant,3,Medea,Caster,Normal,16438.05242,2021.08.13_20.06.40.853
Servant,3,Mandricardo,Rider,Normal,18064.77986,2021.08.13_20.06.40.853
Servant,3,Lubu,Berserker,Normal,13354.84696,2021.08.13_20.06.40.853
CE,3,,,,,2021.08.13_20.07.29.020
Servant,3,Inshun,Lancer,Normal,13757.33261,2021.08.13_20.07.29.020
Servant,3,David,Archer,Normal,13962.59411,2021.08.13_20.07.29.020
Servant,3,Diarmuid,Lancer,Normal,13935.4157,2021.08.13_20.07.29.020
CE,4,,,,,2021.08.13_20.07.29.020
CE,4,,,,,2021.08.13_20.07.29.020
CE,3,,,,,2021.08.13_20.07.29.020
Servant,3,Caesar,Saber,Normal,17116.47787,2021.08.13_20.07.29.020
Servant,5,Altera,Saber,Normal,14363.07111,2021.08.13_20.07.29.020
CE,4,,,,,2021.08.13_20.07.29.020
CE,4,,,,,2021.08.13_20.07.29.020
Servant,3,Romulus,Lancer,Normal,14006.17594,2021.08.13_20.07.52.771
Servant,3,Mandricardo,Rider,Normal,15089.11343,2021.08.13_20.07.52.771
CE,3,,,,,2021.08.13_20.07.52.771
CE,3,,,,,2021.08.13_20.07.52.771
Servant,3,Inshun,Lancer,Normal,12823.3787,2021.08.13_20.07.52.771
CE,4,,,,,2021.08.13_20.07.52.771
CE,3,,,,,2021.08.13_20.07.52.771
CE,3,,,,,2021.08.13_20.07.52.771
CE,3,,,,,2021.08.13_20.07.52.771
CE,3,,,,,2021.08.13_20.07.52.771
CE,3,,,,,2021.08.13_20.07.52.771
Servant,3,GillesSaber,Saber,Normal,14578.3744,2021.08.13_20.08.24.552
CE,4,,,,,2021.08.13_20.08.24.552
Servant,3,Lubu,Berserker,Normal,13343.68469,2021.08.13_20.08.24.552
CE,3,,,,,2021.08.13_20.08.24.552
Servant,3,Romulus,Lancer,Normal,12781.33019,2021.08.13_20.08.24.552
CE,3,,,,,2021.08.13_20.08.24.552
CE,3,,,,,2021.08.13_20.08.24.552
CE,3,,,,,2021.08.13_20.08.24.552
Servant,3,Kiyohime,Berserker,Normal,14317.77628,2021.08.13_20.08.24.552
CE,5,,,,,2021.08.13_20.08.24.552
CE,3,,,,,2021.08.13_20.08.24.552
CE,4,,,,,2021.08.13_20.10.02.719
CE,3,,,,,2021.08.13_20.10.02.719
Servant,3,CuProto,Lancer,Normal,13191.05459,2021.08.13_20.10.02.719
Servant,3,Mandricardo,Rider,Normal,14999.37464,2021.08.13_20.10.02.719
Servant,3,Babbage,Caster,Normal,12511.76053,2021.08.13_20.10.02.719
CE,3,,,,,2021.08.13_20.10.02.719
Servant,3,Avicebron,Caster,Normal,16590.3872,2021.08.13_20.10.02.719
CE,4,,,,,2021.08.13_20.10.02.719
Servant,3,Fergus,Saber,Normal,15479.63918,2021.08.13_20.10.02.719
CE,3,,,,,2021.08.13_20.10.02.719
CE,3,,,,,2021.08.13_20.10.02.719
Servant,3,Caesar,Saber,Normal,16008.89377,2021.08.13_20.10.38.369
CE,5,,,,,2021.08.13_20.10.38.369
CE,4,,,,,2021.08.13_20.10.38.369
CE,3,,,,,2021.08.13_20.10.38.369
Servant,3,Medusa,Rider,Normal,13448.92159,2021.08.13_20.10.38.369
CE,3,,,,,2021.08.13_20.10.38.369
CE,4,,,,,2021.08.13_20.10.38.369
CE,3,,,,,2021.08.13_20.10.38.369
Servant,3,Fergus,Saber,Normal,14630.49749,2021.08.13_20.10.38.369
CE,3,,,,,2021.08.13_20.10.38.369
Servant,3,Medea,Caster,Normal,14058.15899,2021.08.13_20.10.38.369
CE,3,,,,,2021.08.13_20.11.44.470
CE,4,,,,,2021.08.13_20.11.44.470
CE,3,,,,,2021.08.13_20.11.44.470
CE,3,,,,,2021.08.13_20.11.44.470
CE,4,,,,,2021.08.13_20.11.44.470
Servant,3,Geronimo,Caster,Normal,12111.28232,2021.08.13_20.11.44.470
CE,4,,,,,2021.08.13_20.11.44.470
CE,3,,,,,2021.08.13_20.11.44.470
Servant,3,Darius,Berserker,Normal,16246.28783,2021.08.13_20.11.44.470
CE,3,,,,,2021.08.13_20.11.44.470
Servant,3,Euryale,Archer,Normal,17026.06159,2021.08.13_20.11.44.470
CE,3,,,,,2021.08.13_20.12.14.253
CE,3,,,,,2021.08.13_20.12.14.253
CE,4,,,,,2021.08.13_20.12.14.253
Servant,3,Paracelsus,Caster,Normal,14940.25087,2021.08.13_20.12.14.253
CE,4,,,,,2021.08.13_20.12.14.253
CE,3,,,,,2021.08.13_20.12.14.253
Servant,3,Diarmuid,Lancer,Normal,14688.82783,2021.08.13_20.12.14.253
Servant,3,HundredFaces,Assassin,Normal,16203.49324,2021.08.13_20.12.14.253
CE,3,,,,,2021.08.13_20.12.14.253
CE,4,,,,,2021.08.13_20.12.14.253
CE,4,,,,,2021.08.13_20.12.14.253
CE,4,,,,,2021.08.13_20.12.48.518
Servant,3,Paracelsus,Caster,Normal,15289.783,2021.08.13_20.12.48.518
CE,5,,,,,2021.08.13_20.12.48.518
Servant,3,Caesar,Saber,Normal,15642.0187,2021.08.13_20.12.48.518
CE,4,,,,,2021.08.13_20.12.48.518
CE,4,,,,,2021.08.13_20.12.48.518
CE,4,,,,,2021.08.13_20.12.48.518
CE,3,,,,,2021.08.13_20.12.48.518
CE,3,,,,,2021.08.13_20.12.48.518
Servant,3,Caesar,Saber,Normal,17057.88812,2021.08.13_20.12.48.518
CE,3,,,,,2021.08.13_20.12.48.518
Servant,4,FairyTristan,Archer,Story-locked,15099.88889,2021.08.13_20.14.52.738
CE,5,,,,,2021.08.13_20.14.52.738
CE,5,,,,,2021.08.13_20.14.52.738
CE,4,,,,,2021.08.13_20.14.52.738
CE,3,,,,,2021.08.13_20.14.52.738
Servant,3,Boudica,Rider,Normal,14306.77749,2021.08.13_20.14.52.738
CE,3,,,,,2021.08.13_20.14.52.738
Servant,3,WilliamTell,Archer,Normal,17797.84246,2021.08.13_20.14.52.738
Servant,3,Alexander,Rider,Normal,14562.93715,2021.08.13_20.14.52.738
Servant,3,Kotarou,Assassin,Normal,15553.82787,2021.08.13_20.14.52.738
CE,3,,,,,2021.08.13_20.14.52.738
CE,3,,,,,2021.08.13_20.15.15.202
CE,3,,,,,2021.08.13_20.15.15.202
CE,3,,,,,2021.08.13_20.15.15.202
Servant,3,Romulus,Lancer,Normal,13915.6899,2021.08.13_20.15.15.202
CE,4,,,,,2021.08.13_20.15.15.202
Servant,3,WilliamTell,Archer,Normal,13817.68111,2021.08.13_20.15.15.202
Servant,3,Diarmuid,Lancer,Normal,14589.60159,2021.08.13_20.15.15.202
CE,4,,,,,2021.08.13_20.15.15.202
Servant,3,BillyTheKid,Archer,Normal,13156.53068,2021.08.13_20.15.15.202
Servant,3,Medea,Caster,Normal,14812.42164,2021.08.13_20.15.15.202
Servant,3,Alexander,Rider,Normal,14328.51029,2021.08.13_20.15.15.202
CE,3,,,,,2021.08.13_20.15.33.520
CE,4,,,,,2021.08.13_20.15.33.520
Servant,3,KidGil,Archer,Normal,12831.89444,2021.08.13_20.15.33.520
CE,5,,,,,2021.08.13_20.15.33.520
CE,4,,,,,2021.08.13_20.15.33.520
CE,3,,,,,2021.08.13_20.15.33.520
CE,5,,,,,2021.08.13_20.15.33.520
CE,3,,,,,2021.08.13_20.15.33.520
Servant,3,GillesSaber,Saber,Normal,14914.10667,2021.08.13_20.15.33.520
Servant,3,Boudica,Rider,Normal,16618.54522,2021.08.13_20.15.33.520
Servant,3,Alexander,Rider,Normal,14318.50159,2021.08.13_20.15.33.520
Servant,3,Geronimo,Caster,Normal,13125.13415,2021.08.13_20.16.40.570
CE,4,,,,,2021.08.13_20.16.40.570
CE,4,,,,,2021.08.13_20.16.40.570
Servant,3,Medea,Caster,Normal,13872.34382,2021.08.13_20.16.40.570
CE,4,,,,,2021.08.13_20.16.40.570
CE,3,,,,,2021.08.13_20.16.40.570
CE,4,,,,,2021.08.13_20.16.40.570
Servant,3,Babbage,Caster,Normal,13477.19227,2021.08.13_20.16.40.570
Servant,3,Ushiwakamaru,Rider,Normal,16363.43725,2021.08.13_20.16.40.570
CE,5,,,,,2021.08.13_20.16.40.570
Servant,3,Paracelsus,Caster,Normal,15330.75691,2021.08.13_20.16.40.570
CE,4,,,,,2021.08.13_20.17.08.418
CE,3,,,,,2021.08.13_20.17.08.418
Servant,3,Alexander,Rider,Normal,13891.2357,2021.08.13_20.17.08.418
CE,3,,,,,2021.08.13_20.17.08.418
CE,4,,,,,2021.08.13_20.17.08.418
Servant,3,Boudica,Rider,Normal,14307.243,2021.08.13_20.17.08.418
Servant,3,Paracelsus,Caster,Normal,15528.15995,2021.08.13_20.17.08.418
CE,3,,,,,2021.08.13_20.17.08.418
CE,4,,,,,2021.08.13_20.17.08.418
CE,3,,,,,2021.08.13_20.17.08.418
CE,3,,,,,2021.08.13_20.17.08.418
CE,3,,,,,2021.08.13_20.18.04.657
Servant,3,BillyTheKid,Archer,Normal,12850.80551,2021.08.13_20.18.04.657
Servant,3,BillyTheKid,Archer,Normal,12766.79106,2021.08.13_20.18.04.657
